Round,Player,Team,POS1,POS2, Price , Priced at ,, Projection , Diff 
1,Raymond Faitala-Mariner,SGI,MID,EDG," 458,000 ", 34 ,, 22 , (12)
1,Casey McLean,PEN,CTR,WFB," 409,000 ", 30 ,, 37 , 7 
1,Junior Tupou,DOL,WFB,," 355,000 ", 26 ,,,
1,Karl Lawton,NQL,HOK,EDG," 381,000 ", 28 ,, 20 , (8)
1,Matthew Eisenhuth,PEN,MID,," 338,000 ", 25 ,,,
1,Joe Ofahengaue,PAR,MID,," 469,000 ", 35 ,, 28 , (7)
1,Fonua Pole,WST,MID,," 443,000 ", 33 ,, 39 , 7 
1,Daniel Suluka-Fifita,CBY,MID,," 249,000 ", 18 ,,,
1,Leka Halasima,WAR,EDG,," 247,000 ", 18 ,, 18 , 0 
1,Jaxon Purdue,NQL,CTR,," 245,000 ", 18 ,, 33 , 15 
1,Taylor Losalu,SYD,MID,," 235,000 ", 17 ,,,
1,Jeremiah Nanai,NQL,EDG,," 551,000 ", 41 ,, 41 , 0 
1,Kelma Tuilagi,PAR,EDG,," 404,000 ", 30 ,,,
1,Siosifa Talakai,CRO,EDG,CTR," 393,000 ", 29 ,, 21 , (8)
1,Tristan Hope,WST,HOK,," 230,000 ", 17 ,,,
1,Bayleigh Bentley-Hape,SOU,WFB,," 230,000 ", 17 ,,,
1,Ata Mariota,CAN,MID,EDG," 397,000 ", 29 ,, 30 , 1 
1,Bailey Hayward,CBY,MID,," 355,000 ", 26 ,, 22 , (5)
1,Luron Patea,PEN,MID,," 246,000 ", 18 ,,,
1,Siosiua Taukeiaho,MAN,MID,," 383,000 ", 28 ,, 32 , 4 
1,Kaeo Weekes,CAN,HLF,WFB," 530,000 ", 39 ,, 37 , (2)
1,Royce Hunt,WST,MID,," 268,000 ", 20 ,, 26 , 6 
1,Billy Walters,BRI,HOK,HLF," 420,000 ", 31 ,, 20 , (11)
1,Murray Taulagi,NQL,WFB,," 466,000 ", 35 ,, 30 , (4)
1,Makahesi Makatoa,SYD,MID,," 250,000 ", 19 ,,,
1,Fletcher Myers,SOU,CTR,WFB," 350,000 ", 26 ,,,
1,Sam Tuivaiti,PAR,MID,," 230,000 ", 17 ,,,
1,Brodie Jones,NEW,EDG,," 328,000 ", 24 ,,,
1,Matt Doorey,PAR,EDG,," 243,000 ", 18 ,, 22 , 4 
1,Daniel Atkinson,CRO,HLF,WFB," 423,000 ", 31 ,, 11 , (20)
1,Stephen Crichton,CBY,CTR,," 411,000 ", 30 ,, 37 , 7 
1,Kodi Nikorima,DOL,HLF,," 409,000 ", 30 ,, 35 , 5 
1,Sione Fainu,WST,MID,," 340,000 ", 25 ,, 19 , (6)
1,Demitric Vaimauga,WAR,EDG,," 285,000 ", 21 ,, 18 , (3)
1,Connelly Lemuelu,DOL,EDG,," 470,000 ", 35 ,, 24 , (11)
1,Tolutau Koula,MAN,CTR,WFB," 398,000 ", 29 ,, 31 , 2 
1,Mathew Feagai,SGI,WFB,," 388,000 ", 29 ,, 28 , (1)
1,Owen Pattie,CAN,HOK,," 231,000 ", 17 ,, 12 , (5)
1,Brendan Hands,PAR,HOK,," 365,000 ", 27 ,, 17 , (10)
1,Clayton Faulalo,MAN,CTR,WFB," 325,000 ", 24 ,,,
1,Corey Waddell,MAN,MID,EDG," 379,000 ", 28 ,, 19 , (9)
1,Jayden Sullivan,SOU,HLF,," 459,000 ", 34 ,, 25 , (9)
1,Victor Radley,SYD,MID,EDG," 553,000 ", 41 ,, 49 , 9 
1,Simi Sasagi,CAN,EDG,CTR," 364,000 ", 27 ,, 17 , (10)
1,Hugo Savala,SYD,HLF,," 230,000 ", 17 ,,,
1,Albert Hopoate,CAN,CTR,WFB," 402,000 ", 30 ,,,
1,Sean Russell,PAR,CTR,WFB," 324,000 ", 24 ,,,
1,Latrell Mitchell,SOU,WFB,," 800,000 ", 59 ,,,
1,David Fifita,GLD,EDG,," 780,000 ", 58 ,, 50 , (7)
1,Cameron Murray,SOU,MID,," 737,000 ", 55 ,,,
1,Jayden Campbell,GLD,HLF,WFB," 722,000 ", 53 ,, 62 , 9 
1,Soni Luke,PEN,HOK,," 350,000 ", 26 ,,,
1,Euan Aitken,SOU,EDG,," 700,000 ", 52 ,, 51 , (0)
1,Ativalu Lisati,BYE,EDG,," 350,000 ", 26 ,,,
1,Beau Fermor,GLD,EDG,CTR," 665,000 ", 49 ,, 51 , 2 
1,Trai Fuller,DOL,WFB,," 665,000 ", 49 ,,,
1,Mitchell Moses,PAR,HLF,," 700,000 ", 52 ,, 45 , (6)
1,Thomas Flegler,DOL,MID,," 644,000 ", 48 ,,,
1,Jackson Hastings,NEW,HLF,," 642,000 ", 48 ,,,
1,Jacob Kiraz,CBY,CTR,WFB," 641,000 ", 47 ,, 48 , 1 
1,Nat Butcher,SYD,MID,EDG," 638,000 ", 47 ,, 38 , (9)
1,Keano Kini,GLD,WFB,," 654,000 ", 48 ,, 51 , 3 
1,Tom Eisenhuth,SGI,MID,EDG," 616,000 ", 46 ,,,
1,Josh Curran,CBY,MID,EDG," 600,000 ", 44 ,, 37 , (7)
1,Apisai Koroisau,WST,HOK,," 593,000 ", 44 ,, 53 , 9 
1,Bryce Cartwright,PAR,EDG,," 590,000 ", 44 ,,,
1,Jaimin Jolliffe,GLD,MID,," 589,000 ", 44 ,, 31 , (13)
1,Brad Schneider,PEN,HLF,," 550,000 ", 41 ,,,
1,Chris Randall,GLD,HOK,MID," 577,000 ", 43 ,, 33 , (10)
1,Te Maire Martin,WAR,HLF,," 576,000 ", 43 ,,,
1,Sam Walker,SYD,HLF,," 573,000 ", 42 ,,,
1,Ryan Matterson,PAR,MID,EDG," 567,000 ", 42 ,, 43 , 1 
1,Liam Ison,CRO,WFB,," 350,000 ", 26 ,,,
1,Moeaki Fotuaika,GLD,MID,," 550,000 ", 41 ,, 43 , 2 
1,Reagan Campbell-Gillard,GLD,MID,," 534,000 ", 40 ,, 34 , (6)
1,Phillip Sami,GLD,CTR,WFB," 533,000 ", 39 ,, 37 , (2)
1,Jake Clifford,NQL,HLF,," 525,000 ", 39 ,,,
1,Shaun Lane,PAR,EDG,," 523,000 ", 39 ,, 42 , 4 
1,Toby Rudolf,CRO,MID,," 525,000 ", 39 ,,,
1,Brian Kelly,GLD,CTR,," 515,000 ", 38 ,, 40 , 2 
1,Tino Fa'asuamaleaui,GLD,MID,," 700,000 ", 52 ,, 53 , 2 
1,Kieran Foran,GLD,HLF,," 509,000 ", 38 ,,,
1,Jock Madden,BRI,HLF,," 450,000 ", 33 ,,,
1,Jahream Bula,WST,WFB,," 525,000 ", 39 ,, 38 , (1)
1,Tyson Gamble,NEW,HLF,," 502,000 ", 37 ,,,
1,Kotoni Staggs,BRI,CTR,," 525,000 ", 39 ,, 40 , 2 
1,Sam Verrills,GLD,HOK,," 496,000 ", 37 ,, 34 , (2)
1,Tanah Boyd,WAR,HLF,," 497,000 ", 37 ,,,
1,Sione Katoa,CRO,WFB,," 491,000 ", 36 ,,,
1,Klese Haas,GLD,MID,EDG," 488,000 ", 36 ,, 33 , (3)
1,Jojo Fifita,GLD,CTR,WFB," 483,000 ", 36 ,, 40 , 4 
1,AJ Brimson,GLD,WFB,," 482,000 ", 36 ,, 46 , 10 
1,Dallin Watene-Zelezniak,WAR,WFB,," 477,000 ", 35 ,,,
1,Asu Kepaoa,PEN,CTR,," 400,000 ", 30 ,,,
1,Josh Addo-Carr,PAR,WFB,," 468,000 ", 35 ,, 37 , 3 
1,Sione Finau,SGI,WFB,," 350,000 ", 26 ,,,
1,Brandon Smith,SYD,HOK,MID," 465,000 ", 34 ,,,
1,Tommy Talau,MAN,CTR,WFB," 465,000 ", 34 ,,,
1,Spencer Leniu,SYD,MID,," 459,000 ", 34 ,, 39 , 5 
1,Thomas Cant,NEW,EDG,," 458,000 ", 34 ,,,
1,Blaize Talagi,PEN,WFB,," 458,000 ", 34 ,,,
1,Christian Welch,BYE,MID,," 456,000 ", 34 ,,,
1,Mawene Hiroti,CRO,WFB,," 350,000 ", 26 ,,,
1,Ethan Sanders,CAN,HLF,," 350,000 ", 26 ,,,
1,Tyson Smoothy,BRI,HOK,," 452,000 ", 33 ,,,
1,Jordan Rapana,CAN,WFB,," 450,000 ", 33 ,,,
1,Fetalaiga Pauga,SYD,CTR,WFB," 449,000 ", 33 ,,,
1,Dean Hawkins,PAR,HLF,," 444,000 ", 33 ,,,
1,Sualauvi Faalogo,BYE,WFB,," 443,000 ", 33 ,,,
1,Luke Sommerton,PEN,HOK,," 350,000 ", 26 ,,,
1,Rocco Berry,WAR,CTR,," 441,000 ", 33 ,,,
1,David Klemmer,WST,MID,," 439,000 ", 33 ,,,
1,Francis Molo,SGI,MID,," 433,000 ", 32 ,,,
1,Bailey Simonsson,PAR,CTR,WFB," 431,000 ", 32 ,, 36 , 4 
1,Zac Laybutt,NQL,CTR,," 431,000 ", 32 ,,,
1,Alofiana Khan-Pereira,GLD,WFB,," 429,000 ", 32 ,, 31 , (1)
1,Michael Molo,SGI,MID,," 427,000 ", 32 ,,,
1,Ezra Mam,BRI,HLF,," 450,000 ", 33 ,,,
1,Kenneath Bromwich,DOL,MID,EDG," 421,000 ", 31 ,,,
1,Lachlan Croker,MAN,HOK,," 420,000 ", 31 ,, 31 , (0)
1,Josh Rogers,BRI,HLF,," 416,000 ", 31 ,,,
1,Jaylan De Groot,GLD,WFB,," 300,000 ", 22 ,,,
1,Jack Bostock,DOL,WFB,," 414,000 ", 31 ,, 35 , 4 
1,Nathan Brown,MAN,MID,," 413,000 ", 31 ,,,
1,Jacob Alick-Wiencke,GLD,EDG,," 409,000 ", 30 ,,,
1,Hame Sele,SGI,MID,," 408,000 ", 30 ,,,
1,Will Pryce,NEW,HLF,WFB," 350,000 ", 26 ,,,
1,Grant Anderson,BYE,CTR,WFB," 401,000 ", 30 ,,,
1,Martin Taupau,BRI,MID,," 401,000 ", 30 ,,,
1,Fletcher Baker,BRI,MID,," 398,000 ", 29 ,,,
1,Jason Taumalolo,NQL,MID,," 392,000 ", 29 ,, 28 , (1)
1,Luca Moretti,PAR,MID,," 392,000 ", 29 ,,,
1,Jonah Pezet,BYE,HLF,," 392,000 ", 29 ,,,
1,Justin Olam,WST,CTR,," 390,000 ", 29 ,,,
1,Samuel Hughes,CBY,MID,," 389,000 ", 29 ,, 37 , 8 
1,Aaron Schoupp,MAN,CTR,," 350,000 ", 26 ,,,
1,Raymond Tuaimalo Vaega,MAN,WFB,," 350,000 ", 26 ,,,
1,Jacob Host,SOU,EDG,," 381,000 ", 28 ,,,
1,Nelson Asofa-Solomona,BYE,MID,EDG," 400,000 ", 30 ,, 29 , (1)
1,Jaiyden Hunt,BRI,MID,EDG," 382,000 ", 28 ,,,
1,Justin Matamua,WST,EDG,," 381,000 ", 28 ,,,
1,Pasami Saulo,CAN,MID,," 377,000 ", 28 ,,,
1,Michael Chee Kam,MAN,EDG,CTR," 375,000 ", 28 ,,,
1,Max Feagai,DOL,CTR,," 375,000 ", 28 ,,,
1,Mikaele Ravalawa,SGI,WFB,," 374,000 ", 28 ,,,
1,Semi Valemei,NQL,WFB,," 374,000 ", 28 ,,,
1,Bronson Garlick,BYE,HOK,MID," 350,000 ", 26 ,,,
1,Trey Mooney,CAN,MID,," 361,000 ", 27 ,,,
1,Alex Johnston,SOU,WFB,," 360,000 ", 27 ,, 32 , 6 
1,Ryan Couchman,SGI,EDG,," 327,000 ", 24 ,,,
1,Joey Lussick,PAR,HOK,," 357,000 ", 26 ,,,
1,Chevy Stewart,CAN,WFB,," 300,000 ", 22 ,,,
1,Harley Smith-Shields,GLD,CTR,," 344,000 ", 25 ,,,
1,Enari Tuala,CBY,CTR,WFB," 300,000 ", 22 ,,,
1,Blake Mozer,BRI,HOK,," 337,000 ", 25 ,,,
1,Thomas Mikaele,NQL,MID,," 336,000 ", 25 ,,,
1,Edward Kosi,WAR,WFB,," 300,000 ", 22 ,,,
1,Charlie Staines,WST,WFB,," 330,000 ", 24 ,,,
1,Egan Butcher,SYD,EDG,," 350,000 ", 26 ,, 27 , 1 
1,Shaquai Mitchell,SOU,MID,," 318,000 ", 24 ,,,
1,Blake Taaffe,CBY,WFB,," 317,000 ", 23 ,,,
1,Danny Levi,CAN,HOK,," 314,000 ", 23 ,,,
1,Josh Feledy,WST,CTR,," 300,000 ", 22 ,,,
1,Kurtis Morrin,CBY,MID,," 308,000 ", 23 ,,,
1,Freddy Lussick,WAR,HOK,," 301,000 ", 22 ,,,
1,Benjamin Te Kura,BRI,MID,," 250,000 ", 19 ,,,
1,Luke Laulilii,WST,WFB,," 250,000 ", 19 ,,,
1,Bunty Afoa,WAR,MID,," 286,000 ", 21 ,,,
1,Jacob Laban,WAR,EDG,," 284,000 ", 21 ,,,
1,Josiah Pahulu,GLD,MID,," 279,000 ", 21 ,, 21 , 0 
1,Brent Naden,WST,CTR,WFB," 277,000 ", 21 ,,,
1,Mavrik Geyer,PEN,EDG,," 275,000 ", 20 ,,,
1,Jaxson Paulo,NQL,WFB,," 274,000 ", 20 ,,,
1,Joe Chan,BYE,EDG,," 300,000 ", 22 ,,,
1,Billy Burns,CRO,EDG,," 300,000 ", 22 ,,,
1,Josiah Karapani,BRI,CTR,," 270,000 ", 20 ,,,
1,Tom Ale,WAR,MID,," 256,000 ", 19 ,,,
1,Thomas Jenkins,PEN,WFB,," 250,000 ", 19 ,,,
1,Preston Riki,PEN,EDG,," 250,000 ", 19 ,,,
1,Latu Fainu,WST,HLF,," 250,000 ", 19 ,,,
1,Wiremu Greig,PAR,MID,," 250,000 ", 19 ,,,
1,Kit Laulilii,WST,MID,," 250,000 ", 19 ,,,
1,Jamal Shibasaki,NQL,EDG,," 250,000 ", 19 ,,,
1,Gordon Chan Kum Tong,MAN,HOK,," 250,000 ", 19 ,,,
1,Dean Ieremia,BYE,WFB,," 250,000 ", 19 ,,,
1,Aitasi James,MAN,MID,," 250,000 ", 19 ,,,
1,De La Salle Va'a,SYD,MID,," 250,000 ", 19 ,,,
1,Matthew Arthur,NEW,HOK,," 250,000 ", 19 ,,,
1,Jake Turpin,CBY,HOK,," 250,000 ", 19 ,,,
1,Peter Hola,CAN,MID,," 250,000 ", 19 ,,,
1,Jordan Miller,WST,MID,," 250,000 ", 19 ,,,
1,Zyon Maiu'u,CBY,EDG,," 250,000 ", 19 ,,,
1,Joe Stimson,GLD,EDG,," 250,000 ", 19 ,,,
1,Viliami Fifita,SGI,MID,," 250,000 ", 19 ,,,
1,Tony Francis,GLD,WFB,," 250,000 ", 19 ,,,
1,Iszac Fa'asuamaleaui,GLD,MID,," 250,000 ", 19 ,,,
1,Jayden Berrell,CRO,HOK,," 250,000 ", 19 ,,,
1,Jesse Colquhoun,CRO,MID,," 250,000 ", 19 ,,,
1,Starford To'a,WST,CTR,," 250,000 ", 19 ,, 32 , 14 
1,Kitione Kautoga,PAR,CTR,EDG," 250,000 ", 19 ,, 26 , 8 
1,Mason Teague,DOL,MID,," 250,000 ", 19 ,,,
1,Tony Sukkar,WST,EDG,," 250,000 ", 19 ,,,
1,Jordan Martin,CAN,EDG,," 250,000 ", 19 ,,,
1,Marion Seve,BYE,CTR,," 250,000 ", 19 ,,,
1,Sebastian Su'a,NEW,MID,," 250,000 ", 19 ,,,
1,Brock Gray,GLD,MID,," 230,000 ", 17 ,,,
1,Delouise Hoeter,BRI,CTR,," 437,000 ", 32 ,,,
1,Ken Maumalo,GLD,WFB,," 300,000 ", 22 ,,,
1,Ryan Sutton,CBY,MID,," 350,000 ", 26 ,,,
1,Tom Amone,CBY,MID,," 250,000 ", 19 ,,,
1,Dean Matterson,MAN,EDG,," 250,000 ", 19 ,,,
1,Haze Dunster,PAR,WFB,," 250,000 ", 19 ,,,
1,Joshua Schuster,SOU,EDG,HLF," 400,000 ", 30 ,,,
1,Corey Allan,SGI,WFB,," 300,000 ", 22 ,,,
1,Harrison Graham,DOL,HOK,," 350,000 ", 26 ,,,
1,Hohepa Puru,CRO,MID,," 250,000 ", 19 ,,,
1,Billy Smith,SYD,CTR,," 450,000 ", 33 ,,,
1,Niwhai Puru,CRO,HLF,," 230,000 ", 17 ,,,
1,Brandon Tumeth,WST,EDG,," 250,000 ", 19 ,,,
1,Jordan Samrani,PAR,CTR,," 230,000 ", 17 ,,,
1,Kade Dykes,CRO,WFB,," 250,000 ", 19 ,,,
1,Samuel Healey,WAR,HOK,," 230,000 ", 17 ,,,
1,Solome Saukuru,WST,EDG,," 230,000 ", 17 ,,,
1,Toni Mataele,PAR,EDG,," 230,000 ", 17 ,,,
1,Jake Arthur,MAN,HLF,," 300,000 ", 22 ,,,
1,Myles Martin,CAN,MID,," 230,000 ", 17 ,,,
1,Riley Price,PEN,MID,," 230,000 ", 17 ,,,
1,Michael Asomua,CAN,WFB,," 230,000 ", 17 ,,,
1,Tyler Moriarty,SYD,HOK,," 230,000 ", 17 ,,,
1,Joash Papalii,PAR,WFB,," 230,000 ", 17 ,,,
1,Ben Liyou,GLD,MID,," 230,000 ", 17 ,,,
1,Paul Bryan,NEW,MID,," 230,000 ", 17 ,,,
1,James Walsh,DOL,EDG,," 230,000 ", 17 ,,,
1,Dylan Egan,SGI,EDG,," 230,000 ", 17 ,,,
1,Harrison Hassett,PEN,EDG,," 230,000 ", 17 ,,,
1,Vena Patuki-Case,CAN,MID,," 230,000 ", 17 ,,,
1,Thomas Fletcher,SOU,EDG,," 230,000 ", 17 ,,,
1,Ethan Roberts,SYD,EDG,," 230,000 ", 17 ,,,
1,Jesse McLean,PEN,CTR,WFB," 250,000 ", 19 ,,,
1,Jack Todd,CBY,MID,," 230,000 ", 17 ,,,
1,Ryan Foran,GLD,EDG,," 230,000 ", 17 ,,,
1,Robert Derby,NQL,WFB,," 250,000 ", 19 ,,,
1,Benjamin Lovett,SOU,EDG,," 250,000 ", 19 ,,,
1,Lewis Dodd,SOU,HLF,," 550,000 ", 41 ,,,
1,Jermaine McEwen,NEW,EDG,," 230,000 ", 17 ,,,
1,Karl Oloapu,CBY,HLF,," 400,000 ", 30 ,,,
1,Michael Waqa,DOL,MID,," 230,000 ", 17 ,,,
1,Riley Jones,NEW,HOK,," 250,000 ", 19 ,,,
1,Haizyn Mellars,SOU,WFB,," 230,000 ", 17 ,,,
1,Liam Le Blanc,SOU,MID,," 250,000 ", 19 ,,,
1,Ethan King,SYD,WFB,," 230,000 ", 17 ,,,
1,Michael Gabrael,CRO,CTR,," 230,000 ", 17 ,,,
1,Mitchell Woods,CBY,HLF,," 230,000 ", 17 ,,,
1,Toby Rodwell,SYD,HLF,," 230,000 ", 17 ,,,
1,Joey Walsh,MAN,HLF,," 230,000 ", 17 ,,,
1,Finau Latu,SGI,MID,," 230,000 ", 17 ,,,
1,Coby Black,BRI,HLF,," 230,000 ", 17 ,,,
1,Israel Leota,BRI,WFB,," 230,000 ", 17 ,,,
1,Kaiden Lahrs,NQL,MID,," 230,000 ", 17 ,,,
1,Francis Manuleleua,NEW,EDG,," 230,000 ", 17 ,,,
1,Jethro Rinakama,CBY,WFB,," 230,000 ", 17 ,,,
1,Loko Pasifiki Tonga,SGI,MID,," 230,000 ", 17 ,,,
1,Ryder Williams,GLD,HLF,," 230,000 ", 17 ,,,
1,Eddie Ieremia-Toeava,WAR,EDG,," 230,000 ", 17 ,,,
1,Carter Gordon,GLD,HLF,," 350,000 ", 26 ,,,
1,Taj Annan,NEW,CTR,," 230,000 ", 17 ,,,
1,Moses Leo,BYE,WFB,," 350,000 ", 26 ,,,
1,Brendan Piakura,BRI,EDG,," 355,000 ", 26 ,, 8 , (19)